key	value
47,0,,3,1342,923,1403,1093	100,,. 
47,0,,3,579,923,605,1093	97,,(
47,0,,3,504,923,538,1093	100,,)
47,0,,4,2937,1102,2998,1271	93,,، 
47,0,,4,1963,1102,2031,1271	86,,، 
47,0,,4,1402,1102,1463,1271	87,,، 
47,0,,4,691,1102,719,1271	100,,.
47,0,,5,2691,1280,2774,1459	100,,: 
47,0,,6,2396,1468,2420,1639	87,,(
47,0,,6,2299,1468,2359,1639	81,,) 
47,0,,6,705,1468,759,1639	100,,، 
47,0,,7,2279,1648,2344,1811	97,,، 
47,0,,7,1946,1648,2011,1811	100,,: 
47,0,,7,1730,1648,1789,1811	91,,«
47,0,,8,2268,1820,2336,1989	100,,، 
47,0,,8,1998,1820,2048,1989	98,,: 
47,0,,9,2659,1998,2754,2167	76,,. 
47,0,,11,3144,2361,3195,2532	99,,(
47,0,,11,3028,2361,3079,2532	99,, 
47,0,,11,2956,2361,3028,2532	99,,- 
47,0,,11,2822,2361,2957,2532	95,1,) 
47,0,,11,2345,2361,2422,2532	100,,؛ 
47,0,,12,1656,2541,1715,2715	100,,، 
47,0,,14,1415,2895,1479,3065	100,,؛ 
47,0,,15,2758,3074,2836,3275	100,,، 
48,0,,1,1625,101,1747,196	78,,- 
48,0,,1,1688,101,1689,196	78,,( 
48,0,,1,1545,101,1757,196	100,8, 
48,0,,2,1557,393,1583,555	99,,(
48,0,,2,1467,393,1519,555	100,,) 
48,0,,2,354,393,380,555	99,,.
48,0,,3,2161,564,2191,720	99,,(
48,0,,3,2079,564,2123,720	100,,)
48,0,,3,881,564,956,720	73,,،؛ 
48,0,,4,2515,729,2613,891	100,,، 
48,0,,4,780,729,842,891	99,,. 
48,0,,5,1606,900,1634,1049	97,,.
48,0,,11,1457,2002,1489,2176	97,,)
48,0,,11,353,2002,369,2176	96,,)
48,0,,12,2506,2185,2574,2343	100,,، 
48,0,,12,1148,2185,1216,2343	99,,. 
48,0,,13,2533,2356,2562,2497	100,,:
48,0,,14,2462,2734,3181,2930	69,1, 
48,0,,14,2252,2734,2463,2930	95,1,- 
48,0,,14,904,2734,930,2930	98,,(
48,0,,14,834,2734,870,2930	100,,)
48,0,,15,590,3055,631,3214	100,,(
48,0,,16,3037,3223,3184,3383	82,2, 
48,0,,16,2406,3223,2483,3383	100,,)،
48,0,,16,1488,3223,1523,3383	100,,،
48,0,,16,353,3223,409,3383	60,,)،
48,0,,17,1464,3392,1527,3538	100,,: 
48,0,,18,2637,3547,2657,3722	100,,(
48,0,,18,2529,3547,2597,3722	96,,) 
48,0,,18,1231,3547,1286,3722	96,,؛ 
49,0,,1,1777,99,1887,210	100,, 
49,0,,1,1825,99,1871,210	99,49, 
49,0,,1,1665,99,1937,210	50,,-
49,0,,3,2326,520,2389,709	100,,) 
49,0,,3,1035,520,1064,709	100,,(
49,0,,3,950,520,1000,709	100,,) 
49,0,,3,518,520,546,709	91,,،
49,0,,4,2368,720,2421,906	96,,. 
49,0,,4,582,720,612,906	69,,(
49,0,,4,363,720,544,906	100,,) 
49,0,,4,333,720,363,906	99,3,
49,0,,5,2033,947,2095,1122	94,,؛ 
49,0,,6,2214,1159,2243,1340	99,,(
49,0,,6,2114,1159,2178,1340	100,,) 
49,0,,6,1131,1159,1195,1340	100,,. 
49,0,,7,1828,1363,1891,1538	85,,. 
49,0,,7,1573,1363,1600,1538	98,,(
49,0,,7,1482,1363,1538,1538	100,,)
49,0,,7,1157,1363,1213,1538	100,,، 
49,0,,7,514,1363,549,1538	100,,،
49,0,,8,3142,1547,3191,1731	98,, 
49,0,,8,2305,1547,2376,1731	94,,، 
49,0,,8,1820,1547,1891,1731	98,,. 
49,0,,8,1771,1547,1820,1731	86,,(
49,0,,8,513,1547,541,1731	55,,،
49,0,,9,1320,1740,1389,1909	100,,، 
49,0,,10,1128,1918,1154,2087	100,,«
49,0,,11,819,2096,853,2257	100,,. 
49,0,,11,333,2096,367,2257	100,4,
49,0,,12,1782,2266,1845,2452	100,,، 
49,0,,12,1352,2266,1414,2452	88,,، 
49,0,,12,956,2266,1012,2452	96,,، 
49,0,,13,1952,2473,2012,2652	98,,، 
49,0,,13,919,2473,937,2652	100,,(
49,0,,13,812,2473,877,2652	100,,) 
49,0,,14,2637,2665,2664,2842	100,,(
49,0,,14,2570,2665,2596,2842	100,,)
49,0,,14,2251,2665,2319,2842	100,,، 
49,0,,14,1290,2665,1351,2842	99,,، 
49,0,,14,1141,2665,1224,2842	100,,- 
49,0,,15,2861,2853,2895,3044	100,,-
49,0,,15,513,2853,540,3044	98,,.
49,0,,17,1144,3250,1183,3460	100,,. 
50,0,,1,1667,99,1790,188	100,, 
50,0,,1,1597,99,1667,188	100,, 
50,0,,2,2419,301,2480,474	91,,، 
50,0,,2,1111,301,1129,474	100,,(
50,0,,2,1013,301,1067,474	100,,) 
50,0,,2,470,301,531,474	100,,. 
50,0,,3,3016,483,3132,657	100,, 
50,0,,3,1299,483,1324,657	100,,(
50,0,,3,1203,483,1260,657	100,,) 
50,0,,3,861,483,944,657	100,,، 
50,0,,4,3015,670,3195,840	96,6, 
50,0,,4,2681,670,2735,840	100,,. 
50,0,,4,1921,670,1988,840	96,,) 
50,0,,4,1894,670,1922,840	99,,؛
50,0,,4,1394,670,1421,840	100,,(
50,0,,4,1301,670,1354,840	100,,) 
50,0,,4,461,670,487,840	100,,(
50,0,,4,360,670,428,840	98,,) 
50,0,,4,334,670,361,840	77,,.
50,0,,5,2235,849,2302,1021	100,,(
50,0,,5,2073,849,2175,1021	100,,- 
50,0,,5,834,849,895,1021	100,,، 
50,0,,6,2702,1032,2732,1205	90,,؛
50,0,,6,2507,1032,2531,1205	94,,(
50,0,,6,2409,1032,2470,1205	100,,) 
50,0,,6,1868,1032,1928,1205	96,,، 
50,0,,6,602,1032,669,1205	98,,، 
50,0,,7,2795,1224,2814,1402	100,,(
50,0,,7,2690,1224,2756,1402	98,,) 
50,0,,7,1251,1224,1284,1402	100,,.
50,0,,8,2055,1419,2081,1596	99,,(
50,0,,8,1950,1419,2016,1596	100,,) 
50,0,,8,1165,1419,1231,1596	100,,. 
